dates,signals,safef
2016-03-21 20:47:00,1,1
2016-03-21 20:47:00,1,1
2016-03-21 20:50:00,1,1
2016-03-21 20:50:00,1,1
2016-03-21 20:50:00,1,1
2016-03-21 20:55:00,1,1
2016-03-21 20:56:00,1,1
2016-03-21 20:58:00,1,1
2016-03-21 21:00:00,1,1
2016-03-21 21:01:00,1,1
2016-03-21 21:04:00,1,1
2016-03-21 21:05:00,1,1
2016-03-21 21:06:00,1,1
2016-03-21 21:08:00,1,1
2016-03-21 21:08:00,1,1
2016-03-21 21:12:00,1,1
2016-03-21 21:14:00,1,1
2016-03-21 21:15:00,1,1
2016-03-21 21:17:00,1,1
2016-03-21 21:19:00,1,1
2016-03-21 21:19:00,1,1
2016-03-21 21:19:00,1,1
2016-03-21 21:23:00,1,1
2016-03-21 21:25:00,1,1
2016-03-21 21:27:00,1,1
2016-03-21 21:28:00,1,1
2016-03-21 21:31:00,1,1
2016-03-21 21:33:00,1,1
2016-03-21 21:34:00,1,1
2016-03-21 21:35:00,1,1
2016-03-21 21:35:00,1,1
2016-03-21 21:39:00,1,1
2016-03-21 21:41:00,1,1
2016-03-21 21:43:00,1,1
2016-03-21 21:43:00,1,1
2016-03-21 21:45:00,1,1
2016-03-21 21:48:00,1,1
2016-03-21 21:48:00,1,1
2016-03-21 21:51:00,1,1
2016-03-21 21:54:00,1,1
2016-03-21 21:54:00,1,1
2016-03-21 21:57:00,1,1
2016-03-21 21:59:00,1,1
2016-03-21 22:00:00,1,1
2016-03-21 22:02:00,1,1
2016-03-21 22:02:00,1,1
2016-03-21 22:06:00,1,1
2016-03-21 22:07:00,1,1
2016-03-21 22:09:00,1,1
2016-03-21 22:11:00,1,1
2016-03-21 22:11:00,1,1
2016-03-21 22:11:00,1,1
2016-03-21 22:15:00,1,1
2016-03-21 22:18:00,1,1
2016-03-21 22:20:00,1,1
2016-03-21 22:20:00,1,1
2016-03-21 22:24:00,1,1
2016-03-21 22:24:00,1,1
2016-03-21 22:25:00,1,1
2016-03-21 22:26:00,1,1
2016-03-21 22:26:00,1,1
2016-03-21 22:27:00,1,1
2016-03-21 22:27:00,1,1
2016-03-21 22:29:00,1,1
2016-03-21 22:30:00,1,1
2016-03-21 22:32:00,1,1
2016-03-21 22:33:00,1,1
2016-03-21 22:35:00,1,1
2016-03-21 22:36:00,1,1
2016-03-21 22:38:00,1,1
2016-03-21 22:38:00,1,1
2016-03-21 22:38:00,1,1
2016-03-21 22:38:00,1,1
2016-03-21 22:45:00,1,1
2016-03-21 22:46:00,1,1
2016-03-21 22:46:00,1,1
2016-03-21 22:50:00,1,1
2016-03-21 22:52:00,1,1
2016-03-21 22:53:00,1,1
2016-03-21 22:54:00,1,1
2016-03-21 22:58:00,1,1
2016-03-21 22:59:00,1,1
2016-03-21 23:01:00,1,1
2016-03-21 23:02:00,1,1
2016-03-21 23:04:00,1,1
2016-03-21 23:06:00,1,1
2016-03-21 23:06:00,1,1
2016-03-21 23:09:00,1,1
2016-03-21 23:09:00,1,1
2016-03-21 23:11:00,1,1
2016-03-21 23:11:00,1,1
2016-03-21 23:15:00,1,1
2016-03-21 23:17:00,1,1
2016-03-21 23:17:00,1,1
2016-03-21 23:21:00,1,1
2016-03-21 23:23:00,1,1
2016-03-21 23:23:00,1,1
2016-03-21 23:23:00,1,1
2016-03-21 23:29:00,1,1
2016-03-21 23:31:00,1,1
2016-03-21 23:33:00,1,1
2016-03-21 23:35:00,1,1
2016-03-21 23:38:00,1,1
2016-03-21 23:38:00,1,1
2016-03-21 23:38:00,1,1
2016-03-21 23:42:00,1,1
2016-03-21 23:42:00,1,1
2016-03-21 23:45:00,1,1
2016-03-21 23:48:00,-1,1
2016-03-21 23:50:00,-1,1
2016-03-21 23:50:00,-1,1
2016-03-21 23:52:00,-1,1
2016-03-21 23:53:00,-1,1
2016-03-21 23:54:00,-1,1
2016-03-21 23:56:00,-1,1
2016-03-21 23:56:00,-1,1
2016-03-21 23:59:00,-1,1
2016-03-21 23:59:00,-1,1
2016-03-22 00:01:00,-1,1
2016-03-22 00:01:00,-1,1
2016-03-22 00:01:00,-1,1
2016-03-22 00:06:00,-1,1
2016-03-22 00:07:00,-1,1
2016-03-22 00:09:00,-1,1
2016-03-22 00:09:00,-1,1
2016-03-22 00:12:00,-1,1
2016-03-22 00:14:00,-1,1
2016-03-22 00:14:00,-1,1
2016-03-22 00:16:00,1,1
2016-03-22 00:16:00,1,1
2016-03-22 00:18:00,-1,1
2016-03-22 00:20:00,-1,1
2016-03-22 00:20:00,-1,1
2016-03-22 00:24:00,-1,1
2016-03-22 00:25:00,-1,1
2016-03-22 00:26:00,-1,1
2016-03-22 00:28:00,-1,1
2016-03-22 00:30:00,-1,1
2016-03-22 00:31:00,-1,1
2016-03-22 00:33:00,-1,1
2016-03-22 00:34:00,-1,1
2016-03-22 00:35:00,-1,1
2016-03-22 00:35:00,-1,1
2016-03-22 00:39:00,-1,1
2016-03-22 00:40:00,-1,1
2016-03-22 00:42:00,-1,1
2016-03-22 00:43:00,-1,1
2016-03-22 00:43:00,-1,1
2016-03-22 00:46:00,-1,1
2016-03-22 00:48:00,-1,1
