Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency
20160329 20:43:20 EST,paperUSD,19905.17041,20021.17041,295698.01914,0,-94.82959,21.17041,USD
20160329 20:43:22 EST,paperUSD,19902.90641,20020.90641,303253.87514,0,-97.09359,20.90641,USD
20160329 20:43:53 EST,paperUSD,19900.48326,20020.48326,314325.45384,0,-99.51674,20.48326,USD
20160329 20:44:27 EST,paperUSD,19898.48326,20020.48326,306767.92584,0,-101.51674,20.48326,USD
20160329 20:45:30 EST,paperUSD,19895.51526,20019.51526,314324.48584,0,-104.48474,19.51526,USD
20160329 20:46:01 EST,paperUSD,19893.51526,20019.51526,306766.51784,0,-106.48474,19.51526,USD
20160329 20:48:09 EST,paperUSD,19887.71526,20015.71526,313631.91784,0,-112.28474,15.71526,USD
20160329 20:48:09 EST,paperUSD,19885.71526,20015.71526,306766.51784,0,-114.28474,15.71526,USD
20160329 20:53:24 EST,paperUSD,19883.71526,20015.71526,292512.98184,0,-116.28474,15.71526,USD
20160329 20:53:55 EST,paperUSD,19882.85926,20016.85926,306765.37384,0,-117.14074,16.85926,USD
20160329 20:57:01 EST,paperUSD,19880.85926,20016.85926,295688.15314,0,-119.14074,16.85926,USD
20160329 20:57:32 EST,paperUSD,19876.05926,20014.05926,306985.35314,0,-123.94074,14.05926,USD
20160329 21:02:19 EST,paperUSD,19874.05926,20014.05926,295687.25314,0,-125.94074,14.05926,USD
20160329 21:04:27 EST,paperUSD,19871.49506,20013.49506,306763.90964,0,-128.50494,13.49506,USD
20160329 21:04:27 EST,paperUSD,19869.49506,20013.49506,295687.25314,0,-130.50494,13.49506,USD
20160329 21:06:04 EST,paperUSD,19868.02306,20014.02306,303245.74914,0,-131.97694,14.02306,USD
20160329 21:11:18 EST,paperUSD,19866.02306,20014.02306,295688.30914,0,-133.97694,14.02306,USD
20160329 21:12:19 EST,paperUSD,19860.12306,20010.12306,306982.50914,0,-139.87694,10.12306,USD
20160329 21:12:19 EST,paperUSD,19859.09106,20011.09106,314540.91714,0,-140.90894,11.09106,USD
20160329 21:14:22 EST,paperUSD,19857.09106,20011.09106,303247.91714,0,-142.90894,11.09106,USD
20160329 21:15:24 EST,paperUSD,19856.39106,20012.39106,314542.21714,0,-143.60894,12.39106,USD
20160329 21:28:05 EST,paperUSD,19854.39106,20012.39106,304759.50658,0,-145.60894,12.39106,USD
20160329 21:38:53 EST,paperUSD,19852.39106,20012.39106,293468.60658,0,-147.60894,12.39106,USD
20160329 21:40:26 EST,paperUSD,19850.39106,20012.39106,282273.95058,0,-149.60894,12.39106,USD
20160329 21:47:04 EST,paperUSD,19848.39106,20012.39106,268030.27058,0,-151.60894,12.39106,USD
20160329 21:48:07 EST,paperUSD,19842.58271,20008.58271,279110.73543,0,-157.41729,8.58271,USD
20160329 21:50:13 EST,paperUSD,19828.87871,19996.87871,289363.17543,0,-171.12129,-3.12129,USD
20160329 21:53:17 EST,paperUSD,19824.44943,19994.44943,299148.31527,0,-175.55057,-5.55057,USD
20160329 21:53:49 EST,paperUSD,19822.44943,19994.44943,289362.97299,0,-177.55057,-5.55057,USD
20160329 21:58:15 EST,paperUSD,19820.44943,19994.44943,279112.38099,0,-179.55057,-5.55057,USD
20160329 21:59:18 EST,paperUSD,19817.04143,19993.04143,289364.38099,0,-182.95857,-6.95857,USD
20160329 22:00:55 EST,paperUSD,19809.14543,19987.14543,300553.14099,0,-190.85457,-12.85457,USD
20160329 22:02:26 EST,paperUSD,19807.14543,19987.14543,289362.18099,0,-192.85457,-12.85457,USD
20160329 22:05:04 EST,paperUSD,19801.44943,19983.44943,300549.44499,0,-198.55057,-16.55057,USD
20160329 22:06:05 EST,paperUSD,19799.44943,19983.44943,289360.33299,0,-200.55057,-16.55057,USD
20160329 22:07:38 EST,paperUSD,19795.86543,19981.86543,300547.86099,0,-204.13457,-18.13457,USD
20160329 22:15:24 EST,paperUSD,19793.86543,19981.86543,289469.93504,0,-206.13457,-18.13457,USD
20160329 22:18:59 EST,paperUSD,19792.16909,19982.16909,299255.58098,0,-207.83091,-17.83091,USD
20160329 22:20:03 EST,paperUSD,19790.16909,19982.16909,289470.03626,0,-209.83091,-17.83091,USD
20160329 22:32:05 EST,paperUSD,19788.16909,19982.16909,278293.59626,0,-211.83091,-17.83091,USD
20160329 22:33:07 EST,paperUSD,19786.27031,19982.27031,289341.35438,0,-213.72969,-17.72969,USD
20160329 22:33:07 EST,paperUSD,19784.27031,19982.27031,267245.83814,0,-215.72969,-17.72969,USD
20160329 22:33:38 EST,paperUSD,19779.63031,19979.63031,278419.63814,0,-220.36969,-20.36969,USD
20160329 22:33:38 EST,paperUSD,19754.75031,19956.75031,285990.36614,0,-245.24969,-43.24969,USD
20160329 22:34:39 EST,paperUSD,19752.75031,19956.75031,278417.26214,0,-247.24969,-43.24969,USD
20160329 22:36:46 EST,paperUSD,19750.75031,19956.75031,289495.18809,0,-249.24969,-43.24969,USD
20160329 22:40:31 EST,paperUSD,19748.75031,19956.75031,278418.24949,0,-251.24969,-43.24969,USD
20160329 22:54:28 EST,paperUSD,19746.75031,19956.75031,267234.24149,0,-253.24969,-43.24969,USD
20160329 22:56:01 EST,paperUSD,19744.66231,19956.66231,278418.16149,0,-255.33769,-43.33769,USD
20160329 22:56:33 EST,paperUSD,19737.80375,19951.80375,300518.53629,0,-262.19625,-48.19625,USD
20160329 22:57:35 EST,paperUSD,19735.80375,19951.80375,289468.55133,0,-264.19625,-48.19625,USD
20160329 23:03:50 EST,paperUSD,19737.70375,19955.70375,300763.35133,0,-262.29625,-44.29625,USD
20160329 23:03:50 EST,paperUSD,19735.70375,19955.70375,289468.55133,0,-264.29625,-44.29625,USD
20160329 23:12:12 EST,paperUSD,19732.69155,19954.69155,300519.54849,0,-267.30845,-45.30845,USD
20160329 23:12:12 EST,paperUSD,19730.69155,19954.69155,289468.55133,0,-269.30845,-45.30845,USD
20160329 23:25:52 EST,paperUSD,19728.69155,19954.69155,278286.74333,0,-271.30845,-45.30845,USD
20160329 23:29:09 EST,paperUSD,19725.45955,19953.45955,289467.31933,0,-274.54045,-46.54045,USD
20160329 23:30:43 EST,paperUSD,19723.45955,19953.45955,278288.67933,0,-276.54045,-46.54045,USD
20160329 23:33:16 EST,paperUSD,19721.28355,19953.28355,289467.14333,0,-278.71645,-46.71645,USD
20160329 23:35:19 EST,paperUSD,19719.28355,19953.28355,278287.97533,0,-280.71645,-46.71645,USD
20160329 23:41:58 EST,paperUSD,19715.61155,19951.61155,289465.47133,0,-284.38845,-48.38845,USD
20160329 23:43:33 EST,paperUSD,19713.61155,19951.61155,279568.02333,0,-286.38845,-48.38845,USD
20160329 23:45:50 EST,paperUSD,19709.49955,19949.49955,289467.58333,0,-290.50045,-50.50045,USD
20160329 23:50:06 EST,paperUSD,19707.49955,19949.49955,278288.67933,0,-292.50045,-50.50045,USD
20160329 23:51:38 EST,paperUSD,19704.44355,19948.44355,289466.52733,0,-295.55645,-51.55645,USD
20160329 23:55:19 EST,paperUSD,19702.44355,19948.44355,279225.26333,0,-297.55645,-51.55645,USD
20160329 23:56:21 EST,paperUSD,19699.12355,19947.12355,289465.20733,0,-300.87645,-52.87645,USD
20160329 23:57:24 EST,paperUSD,19697.12355,19947.12355,279223.32733,0,-302.87645,-52.87645,USD
20160329 23:58:58 EST,paperUSD,19681.14717,19933.14717,288995.73181,0,-318.85283,-66.85283,USD
20160329 23:59:29 EST,paperUSD,19679.14717,19933.14717,279223.85051,0,-320.85283,-66.85283,USD
20160330 00:02:02 EST,paperUSD,19675.87659,19931.87659,288997.00239,0,-324.12341,-68.12341,USD
20160330 00:03:03 EST,paperUSD,19673.87659,19931.87659,279225.86849,0,-326.12341,-68.12341,USD
20160330 00:05:15 EST,paperUSD,19672.66859,19932.66859,289468.54049,0,-327.33141,-67.33141,USD
20160330 00:06:48 EST,paperUSD,19670.66859,19932.66859,278286.64449,0,-329.33141,-67.33141,USD
20160330 00:08:21 EST,paperUSD,19668.05259,19932.05259,289467.92449,0,-331.94741,-67.94741,USD
20160330 00:12:06 EST,paperUSD,19666.05259,19932.05259,279570.12449,0,-333.94741,-67.94741,USD
20160330 00:13:16 EST,paperUSD,19664.05259,19932.05259,268391.22049,0,-335.94741,-67.94741,USD
20160330 00:13:49 EST,paperUSD,19661.08459,19931.08459,278289.98849,0,-338.91541,-68.91541,USD
20160330 00:14:52 EST,paperUSD,19658.90859,19930.90859,289468.71649,0,-341.09141,-69.09141,USD
20160330 00:17:10 EST,paperUSD,19656.90859,19930.90859,279567.83649,0,-343.09141,-69.09141,USD
20160330 00:21:34 EST,paperUSD,19656.85183,19932.85183,289337.02715,0,-343.14817,-67.14817,USD
20160330 00:26:21 EST,paperUSD,19655.02783,19933.02783,296910.30715,0,-344.97217,-66.97217,USD
20160330 00:29:27 EST,paperUSD,19653.02783,19933.02783,286665.78715,0,-346.97217,-66.97217,USD
20160330 00:31:02 EST,paperUSD,19646.67537,19928.67537,296446.97941,0,-353.32463,-71.32463,USD
20160330 00:32:05 EST,paperUSD,19644.67537,19928.67537,286664.97739,0,-355.32463,-71.32463,USD
20160330 00:36:21 EST,paperUSD,19642.67537,19928.67537,276894.96459,0,-357.32463,-71.32463,USD
20160330 00:48:12 EST,paperUSD,19644.37137,19932.37137,286792.14859,0,-355.62863,-67.62863,USD
20160330 00:49:13 EST,paperUSD,19642.37137,19932.37137,276895.66859,0,-357.62863,-67.62863,USD
20160330 00:50:45 EST,paperUSD,19639.31537,19931.31537,286793.20459,0,-360.68463,-68.68463,USD
20160330 00:54:36 EST,paperUSD,19637.31537,19931.31537,279227.22859,0,-362.68463,-68.68463,USD
20160330 01:00:58 EST,paperUSD,19631.79537,19927.79537,289468.22859,0,-368.20463,-72.20463,USD
20160330 01:02:00 EST,paperUSD,19629.79537,19927.79537,279226.34859,0,-370.20463,-72.20463,USD
20160330 01:13:25 EST,paperUSD,19627.79537,19927.79537,268055.98059,0,-372.20463,-72.20463,USD
20160330 01:13:56 EST,paperUSD,19624.21137,19926.21137,279224.76459,0,-375.78863,-73.78863,USD
20160330 01:15:29 EST,paperUSD,19606.19537,19910.19537,289450.62859,0,-393.80463,-89.80463,USD
20160330 01:20:48 EST,paperUSD,19604.19537,19910.19537,278280.96459,0,-395.80463,-89.80463,USD
